fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.66158,0.00847,0.01397,0.6,0.00034,2.93862,0.53549,0.15989,0.35089,0.0095,0.48915,0.45707,0.0,0.10086,0.28533,0.0,0.0,0.0,0.47724,0.70073,0.0,0.0
0.65424,0.00757,0.01144,0.95067,0.00039,5.0,0.85387,0.2,0.30283,0.01054,0.57748,0.39924,0.0,0.10086,0.27232,0.0,0.0,0.0,0.50422,1.0,0.0,0.0
0.66411,0.00844,0.01,0.6,0.00037,4.95034,0.7317,0.2,0.31831,0.00882,0.71358,0.38616,0.0,0.10378,0.29113,0.0,0.0,0.0,0.48977,0.81241,0.0,0.0
0.64917,0.00827,0.01,0.64137,0.00033,4.95034,0.68705,0.2,0.34761,0.00912,0.70851,0.38616,0.0,0.10315,0.31829,0.0,0.0,0.0,0.53998,0.88718,0.0,0.0
0.6524,0.00825,0.0103,0.68289,0.00046,4.2969,0.7128,0.2,0.35857,0.00881,0.47914,0.42198,0.0,0.11,0.29976,0.0,0.0,0.0,0.49933,0.8935,0.0,0.0
0.66684,0.00939,0.01323,0.72739,0.00034,4.72309,0.81355,0.2,0.40245,0.00888,0.40062,0.43454,0.0,0.10136,0.20105,0.0,0.0,0.0,0.45245,0.92166,0.0,0.0
0.64914,0.00734,0.01,0.6,0.0004,4.30356,0.56696,0.2,0.23945,0.00834,0.43915,0.36909,0.0,0.10297,0.27733,0.0,0.0,0.0,0.51257,0.56759,0.0,0.0
0.66559,0.00981,0.01384,0.73931,0.00034,4.76635,0.81355,0.18568,0.39293,0.0093,0.40373,0.42176,0.0,0.09957,0.20105,0.0,0.0,0.0,0.45245,0.96383,0.0,0.0
0.64112,0.0063,0.01252,0.63364,0.00042,4.61292,0.56521,0.1418,0.36917,0.00816,0.7464,0.43457,0.0,0.1111,0.28533,0.0,0.0,0.0,0.53686,0.79281,0.0,0.0
0.67931,0.0073,0.01382,0.66909,0.0004,4.94816,0.62906,0.2,0.41584,0.01089,0.44191,0.30174,0.0,0.12337,0.22748,0.0,0.0,0.0,0.51565,0.64234,0.0,0.0
0.66453,0.00724,0.01165,0.63892,0.00043,4.94816,0.64424,0.2,0.46414,0.00907,0.44191,0.28344,0.0,0.12337,0.21973,0.0,0.0,0.0,0.46252,0.56342,0.0,0.0
0.65997,0.0073,0.01348,0.68882,0.00041,4.92791,0.62055,0.2,0.39999,0.01067,0.44191,0.29457,0.0,0.12072,0.22295,0.0,0.0,0.0,0.53606,0.633,0.0,0.0
0.65797,0.00734,0.01162,0.6,0.0004,4.61292,0.74457,0.2,0.43288,0.00968,0.4833,0.37526,0.0,0.0904,0.28533,0.0,0.0,0.0,0.36815,0.83483,0.0,0.0
0.65814,0.00612,0.01382,0.69772,0.00042,5.0,0.62906,0.2,0.33231,0.01014,0.53596,0.29496,0.0,0.11891,0.21081,0.0,0.0,0.0,0.56342,0.62398,0.0,0.0
0.67686,0.01012,0.01239,0.91225,0.00034,4.76635,0.71438,0.15235,0.35887,0.0093,0.49455,0.46425,0.0,0.10768,0.19008,0.0,0.0,0.0,0.40328,0.84812,0.0,0.0
0.65335,0.00886,0.01174,0.6,0.0004,5.0,0.71714,0.2,0.47346,0.0088,0.48661,0.31848,0.0,0.11118,0.22748,0.0,0.0,0.0,0.51565,0.81346,0.0,0.0
0.66617,0.0123,0.01239,0.94819,0.00034,4.44698,0.56566,0.13119,0.35887,0.0093,0.57881,0.44795,0.0,0.11316,0.19008,0.0,0.0,0.0,0.3893,1.0,0.0,0.0
0.64997,0.00772,0.01382,0.62239,0.00039,4.86644,0.62906,0.2,0.39339,0.01076,0.44388,0.29211,0.0,0.13146,0.23709,0.0,0.0,0.0,0.52835,0.6128,0.0,0.0
0.65507,0.0073,0.01365,0.69448,0.0004,4.47117,0.66748,0.2,0.41377,0.01319,0.38512,0.26529,0.0,0.11446,0.22748,0.0,0.0,0.0,0.45338,0.77217,0.0,0.0
0.66356,0.008,0.01392,0.76439,0.00051,4.91577,0.65486,0.2,0.40948,0.00781,0.53325,0.30269,0.0,0.10086,0.28734,0.0,0.0,0.0,0.4907,0.87735,0.0,0.0
