epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1844.89,0.96492,0.76053,1.13185,0.92115,0.87855,0.9396,0.68381,0.96745,0.80647,1.16126,0.00197716,0.00197716,0.00197716
43,1892.87,0.95595,0.76336,1.13189,0.91753,0.88189,0.9344,0.6789,1.02142,0.68571,1.20668,0.00197604,0.00197604,0.00197604
44,1941.54,0.94848,0.76214,1.12835,0.88872,0.90447,0.94064,0.67864,0.99916,0.80787,1.19144,0.00197489,0.00197489,0.00197489
45,1987.48,0.94992,0.76053,1.12723,0.90986,0.9027,0.94424,0.67687,0.98069,0.76624,1.17744,0.00197371,0.00197371,0.00197371
46,2034.7,0.9455,0.75072,1.13008,0.93539,0.88211,0.94082,0.6803,0.99472,0.63559,1.202,0.00197251,0.00197251,0.00197251
47,2080.77,0.94289,0.73224,1.12486,0.91758,0.88252,0.93508,0.67883,0.98846,0.71104,1.19041,0.00197128,0.00197128,0.00197128
48,2127.15,0.9513,0.73592,1.12782,0.92154,0.88331,0.93276,0.6853,0.98796,0.67207,1.18805,0.00197002,0.00197002,0.00197002
49,2173.18,0.94802,0.744,1.13229,0.94104,0.85569,0.9417,0.68627,0.98886,0.68101,1.19256,0.00196874,0.00196874,0.00196874
50,2219.17,0.94236,0.74098,1.12599,0.9055,0.87195,0.92511,0.66774,1.00177,0.70399,1.20532,0.00196743,0.00196743,0.00196743
51,2265.32,0.94585,0.74574,1.13588,0.89078,0.91172,0.94169,0.68919,0.96445,0.65873,1.15693,0.0019661,0.0019661,0.0019661
52,2311.75,0.9382,0.73367,1.12392,0.92479,0.88618,0.94685,0.69282,0.95072,0.67188,1.17353,0.00196473,0.00196473,0.00196473
53,2357.79,0.92733,0.72234,1.11643,0.91718,0.88821,0.93692,0.69041,0.98912,0.64647,1.1912,0.00196335,0.00196335,0.00196335
54,2403.89,0.93408,0.72473,1.12284,0.92118,0.89024,0.93692,0.68444,1.00347,0.65848,1.18436,0.00196193,0.00196193,0.00196193
55,2449.59,0.92751,0.71535,1.1202,0.90745,0.89431,0.93746,0.68783,0.96863,0.62021,1.16425,0.00196049,0.00196049,0.00196049
56,2496.98,0.91998,0.68806,1.1084,0.92645,0.89605,0.94126,0.68941,0.98068,0.67485,1.16688,0.00195903,0.00195903,0.00195903
57,2543.73,0.93112,0.71527,1.11929,0.92122,0.87943,0.93239,0.69227,0.9795,0.62908,1.18638,0.00195753,0.00195753,0.00195753
58,2590.23,0.92679,0.71559,1.11777,0.89718,0.9065,0.93356,0.69091,0.98195,0.6128,1.18189,0.00195601,0.00195601,0.00195601
59,2637.14,0.9321,0.71283,1.1185,0.93564,0.88008,0.94672,0.69814,1.00427,0.68686,1.20166,0.00195447,0.00195447,0.00195447
60,2683.9,0.91931,0.70267,1.10949,0.9302,0.89393,0.94137,0.70628,0.95511,0.62906,1.18205,0.0019529,0.0019529,0.0019529
61,2729.96,0.909,0.69009,1.10649,0.92015,0.91057,0.94126,0.69752,0.96006,0.5894,1.19669,0.0019513,0.0019513,0.0019513
62,2776.07,0.9032,0.67951,1.1054,0.90352,0.90244,0.93294,0.69201,0.95554,0.61994,1.19583,0.00194968,0.00194968,0.00194968
63,2822.79,0.90662,0.69266,1.11611,0.91954,0.89228,0.93916,0.69462,0.95275,0.62198,1.18374,0.00194803,0.00194803,0.00194803
64,2872.23,0.91327,0.6967,1.10752,0.93949,0.90447,0.94744,0.70005,0.94454,0.58173,1.1534,0.00194635,0.00194635,0.00194635
65,2919.89,0.90518,0.68967,1.10859,0.92976,0.88008,0.93791,0.69985,0.94858,0.63299,1.19374,0.00194465,0.00194465,0.00194465
66,2966.81,0.90474,0.67723,1.10699,0.89353,0.90404,0.92316,0.68784,0.96427,0.72243,1.18398,0.00194293,0.00194293,0.00194293
67,3014.89,0.91197,0.69497,1.11147,0.90551,0.89602,0.92744,0.69217,0.95913,0.60272,1.17111,0.00194118,0.00194118,0.00194118
68,3061.14,0.8916,0.67744,1.09804,0.94738,0.88821,0.94317,0.70177,0.94614,0.58389,1.17727,0.0019394,0.0019394,0.0019394
69,3105.79,0.90256,0.67814,1.09653,0.92681,0.89228,0.93513,0.69802,0.95084,0.66127,1.1721,0.0019376,0.0019376,0.0019376
70,3150.24,0.88705,0.66354,1.09901,0.90816,0.90041,0.9437,0.70555,0.93482,0.61585,1.15648,0.00193577,0.00193577,0.00193577
71,3192.84,0.88884,0.66313,1.09184,0.92521,0.90515,0.94403,0.70497,0.97896,0.58598,1.21107,0.00193391,0.00193391,0.00193391
72,3235.93,0.88284,0.65943,1.09016,0.9082,0.91057,0.94165,0.70021,0.96443,0.60561,1.20098,0.00193203,0.00193203,0.00193203
73,3278.61,0.89728,0.67005,1.09647,0.93532,0.87602,0.94131,0.70399,0.94881,0.57852,1.16337,0.00193013,0.00193013,0.00193013
74,3321.49,0.88954,0.65757,1.09833,0.93981,0.88854,0.94495,0.71207,0.95254,0.5526,1.16653,0.0019282,0.0019282,0.0019282
75,3364.44,0.8682,0.6446,1.08519,0.92108,0.90142,0.9447,0.71005,0.97025,0.57896,1.20594,0.00192624,0.00192624,0.00192624
76,3407.71,0.87525,0.64999,1.08685,0.93489,0.90477,0.94757,0.70531,0.96867,0.64327,1.21738,0.00192426,0.00192426,0.00192426
77,3450.34,0.8916,0.66367,1.10177,0.93669,0.90218,0.94689,0.70486,0.97701,0.57897,1.18585,0.00192225,0.00192225,0.00192225
